ID,Distance To Jita,Region,Constellation,Name,Security,Neighbors,Planets
30000001,14,Derelik,San Matar,Tanoo,0.86,30000003:30000005:30000007,40000002:40000005:40000007:40000008:40000011:40000017
30000002,14,Derelik,San Matar,Lashesih,0.75,30000005:30002973,40000020:40000022:40000024:40000028:40000031:40000033:40000037
30000003,15,Derelik,San Matar,Akpivem,0.85,30000001:30000007:30000052:30000084,40000041:40000043:40000046:40000055:40000074:40000100:40000123
30000004,12,Derelik,San Matar,Jark,0.82,30000005:30002509,40000130:40000132:40000134:40000137:40000139:40000164:40000185
30000005,13,Derelik,San Matar,Sasta,0.81,30000001:30000002:30000004:30000032,40000191:40000193:40000194:40000196:40000200:40000215:40000236:40000256:40000282
30000006,17,Derelik,San Matar,Zaid,0.86,30000008:30000023,40000292:40000293:40000294:40000297:40000298:40000300:40000304:40000323:40000326
30000007,15,Derelik,San Matar,Yuzier,0.91,30000001:30000003:30000008,40000333:40000335:40000337:40000339:40000341:40000348:40000352:40000355
30000008,16,Derelik,San Matar,Nirbhi,0.88,30000006:30000007:30000057:30000076,40000382:40000384:40000386:40000389:40000391:40000398:40000417:40000441:40000462:40000468
30000009,23,Derelik,Anares,Sooma,0.58,30000010,40000472:40000473:40000474:40000476:40000478:40000481:40000484:40000505:40000516:40000527
30000010,22,Derelik,Anares,Chidah,0.54,30000009:30000011:30000013,40000533:40000534:40000535:40000537:40000540:40000553:40000555:40000570:40000597:40000599
30000011,23,Derelik,Anares,Shenela,0.46,30000010:30000038,40000605:40000607:40000608:40000611:40000632:40000635
30000012,20,Derelik,Anares,Asabona,0.32,30000013:30000073,40000663:40000665:40000667:40000670:40000672:40000679:40000686:40000689:40000715:40000741:40000767
30000013,21,Derelik,Anares,Onsooh,0.44,30000010:30000012:30000014:30000015:30000016,40000770:40000772:40000774:40000776:40000779:40000781:40000783:40000799:40000824:40000854
30000014,22,Derelik,Anares,Shamahi,0.36,30000013:30000090:30000098,40000861:40000862:40000864:40000866:40000868:40000869:40000888:40000908:40000916:40000940
30000015,22,Derelik,Anares,Sendaya,0.29,30000013:30000018:30000046:30001047,40000942:40000943:40000945:40000947:40000949:40000953:40000966:40000989:40000993
30000016,22,Derelik,Anares,Nazhgete,0.39,30000013,40001000:40001002:40001004:40001006:40001009:40001012:40001013:40001036:40001060:40001076
30000017,24,Derelik,Mamouna,Futzchag,0.17,30000018:30000020:30000021:30000022,40001096:40001097:40001099:40001101:40001103:40001124:40001126:40001128:40001154:40001176:40001181
30000018,23,Derelik,Mamouna,Kazna,0.23,30000015:30000017:30000021,40001183:40001184:40001186:40001200:40001203:40001224:40001246
30000019,26,Derelik,Mamouna,Podion,0.11,30000022,40001266:40001267:40001269:40001270:40001272:40001281:40001292:40001316:40001340
30000020,25,Derelik,Mamouna,Lilmad,0.16,30000017,40001345:40001347:40001349:40001351:40001367:40001382:40001385:40001411
30000021,24,Derelik,Mamouna,Kuharah,0.19,30000017:30000018,40001415:40001417:40001419:40001424:40001444:40001463:40001492:40001495
30000022,25,Derelik,Mamouna,Jayneleb,0.11,30000017:30000019,40001499:40001501:40001503:40001519:40001526:40001550:40001572:40001575:40001578
30000023,18,Derelik,Kalangin,Fovihi,0.87,30000006:30000024:30000030,40001582:40001584:40001586:40001589:40001593:40001614:40001639
30000024,19,Derelik,Kalangin,Kiereend,0.84,30000023:30000025:30000027:30000028,40001645:40001647:40001648:40001650:40001652:40001655:40001660:40001690
30000025,19,Derelik,Kalangin,Rashy,0.80,30000024:30000026:30000027:30000028,40001713:40001715:40001717:40001732:40001754:40001779
30000026,18,Derelik,Kalangin,Ordize,0.70,30000025:30000028:30000029:30000030,40001785:40001786:40001789:40001809:40001815:40001825:40001829
30000027,20,Derelik,Kalangin,Psasa,0.75,30000024:30000025:30000028,40001834:40001850:40001867
30000028,19,Derelik,Kalangin,Eshtah,0.77,30000024:30000025:30000026:30000027:30000064,40001892:40001894:40001896:40001899:40001903:40001907:40001910:40001927:40001957:40001981
30000029,18,Derelik,Kalangin,Lachailes,0.57,30000026:30000030,40001985:40001986:40001988:40001991:40001994:40002012
30000030,17,Derelik,Kalangin,Kasrasi,0.57,30000023:30000026:30000029:30000112,40002038:40002040:40002041:40002043:40002045:40002047:40002053:40002056:40002068:40002076
30000031,14,Derelik,Hevaka,Mohas,0.68,30000033:30000035,40002088:40002089:40002091:40002093:40002096:40002098:40002101:40002104:40002123
30000032,14,Derelik,Hevaka,Hasiari,0.80,30000005:30000033:30000034,40002133:40002134:40002136:40002138:40002139:40002141:40002144:40002151:40002156
30000033,15,Derelik,Hevaka,Radima,0.75,30000031:30000032,40002158:40002159:40002162:40002164:40002165:40002167:40002171:40002173:40002176:40002183:40002202:40002236
30000034,15,Derelik,Hevaka,Alkez,0.78,30000032,40002243:40002245:40002246:40002248:40002252:40002257:40002261:40002282
30000035,13,Derelik,Hevaka,Nimambal,0.59,30000031:30000036:30000114,40002288:40002289:40002290:40002291:40002292:40002295:40002299:40002323:40002328:40002336
30000036,12,Derelik,Hevaka,Yishinoon,0.42,30000035:30000037,40002341:40002343:40002345:40002348:40002364:40002382:40002412
30000037,11,Derelik,Hevaka,Uplingur,0.42,30000036:30002508,40002418:40002420:40002426:40002444
30000038,24,Derelik,Sazdih,Dooz,0.42,30000011:30000039:30000040:30000043,40002478:40002479:40002480:40002482:40002486:40002511
30000039,25,Derelik,Sazdih,Bayuka,0.40,30000038:30000040:30000041,40002515:40002516:40002518:40002520:40002522:40002552:40002574:40002593:40002597:40002601
30000040,25,Derelik,Sazdih,Uzistoon,0.39,30000038:30000039:30000043,40002612:40002613:40002614:40002615:40002617:40002619:40002635:40002659
30000041,26,Derelik,Sazdih,Bairshir,0.36,30000039:30000042,40002666:40002667:40002669:40002674:40002687:40002714
30000042,27,Derelik,Sazdih,Moh,0.47,30000041,40002725:40002727:40002728:40002730:40002734:40002746:40002752
30000043,25,Derelik,Sazdih,Sari,0.38,30000038:30000040:30000100,40002759:40002760:40002761:40002763:40002767:40002784:40002814:40002818:40002822
30000044,22,Derelik,Ananah,Faspera,0.13,30000045:30000046,40002838:40002839:40002840:40002841:40002845:40002847:40002851:40002853
30000045,21,Derelik,Ananah,Jaymass,0.22,30000044:30000046:30000048:30000049,40002858:40002860:40002862:40002864:40002868:40002888:40002917
30000046,21,Derelik,Ananah,Mifrata,0.30,30000015:30000044:30000045:30000047:30000048,40002920:40002921:40002922:40002925:40002942:40002968:40002974
30000047,22,Derelik,Ananah,Majamar,0.37,30000046:30000050,40002980:40002982:40002984:40002987:40002990:40002993:40003012:40003033:40003049:40003055
30000048,20,Derelik,Ananah,Ihal,0.49,30000045:30000046:30000106,40003060:40003062:40003064:40003069:40003073:40003086:40003108:40003128:40003147:40003152
30000049,22,Derelik,Ananah,Camal,0.21,30000045,40003158:40003159:40003161:40003163:40003166:40003168:40003172:40003179:40003182
30000050,23,Derelik,Ananah,Fera,0.48,30000047,40003187:40003188:40003190:40003193
30000051,17,Derelik,Mossas,Juddi,0.65,30000052:30000053:30000056:30000109,40003197:40003200:40003201:40003203:40003205:40003206:40003209:40003228:40003239:40003261:40003267
30000052,16,Derelik,Mossas,Maspah,0.80,30000003:30000051:30000053:30000054:30000055,40003271:40003272:40003274:40003276:40003284:40003303:40003330
30000053,17,Derelik,Mossas,Ibaria,0.73,30000051:30000052,40003336:40003339:40003341:40003344
30000054,17,Derelik,Mossas,Shala,0.72,30000052:30000055,40003348:40003349:40003353:40003367:40003372:40003379:40003382:40003386
30000055,17,Derelik,Mossas,Zemalu,0.73,30000052:30000054,40003392:40003393:40003395:40003397:40003400:40003402:40003406:40003409:40003415
30000056,18,Derelik,Mossas,Khankenirdia,0.61,30000051,40003420:40003423:40003425:40003428:40003431:40003451:40003455:40003457:40003466:40003469
30000057,17,Derelik,Mekashtad,Nikh,0.77,30000008:30000058:30000061:30000068,40003474:40003476:40003478:40003480:40003485:40003504:40003530:40003537
30000058,18,Derelik,Mekashtad,Amphar,0.70,30000057:30000059:30000068:30000105,40003543:40003544:40003546:40003548:40003553:40003556:40003563:40003568:40003594
30000059,19,Derelik,Mekashtad,Salashayama,0.67,30000058:30000060,40003621:40003622:40003624:40003626:40003628:40003632:40003637:40003650
30000060,18,Derelik,Mekashtad,Janus,0.55,30000059:30000062:30000063:30000065,40003660:40003662:40003664:40003667:40003670:40003671:40003675:40003683:40003687:40003703
30000061,18,Derelik,Mekashtad,Agha,0.72,30000057,40003708:40003709:40003710:40003712:40003715:40003717:40003720:40003731:40003755:40003781
30000062,18,Derelik,Mekashtad,Iosantin,0.45,30000060:30000065:30000067,40003808:40003810:40003812:40003813:40003815:40003818:40003821:40003839
30000063,19,Derelik,Mekashtad,Orva,0.51,30000060:30000064:30000069,40003867:40003869:40003871:40003873:40003876:40003895:40003909:40003932:40003942:40003946
30000064,20,Derelik,Mekashtad,Zet,0.57,30000028:30000063:30000066:30000069,40003951:40003953:40003955:40003974:40003995:40003999:40004003:40004030
30000065,17,Derelik,Mekashtad,Akhrad,0.36,30000060:30000062:30000067:30000118,40004036:40004037:40004039:40004041:40004043:40004045:40004048:40004067:40004093:40004101:40004114:40004119
30000066,21,Derelik,Mekashtad,Pirohdim,0.63,30000064:30000069,40004123:40004133:40004145:40004164:40004189:40004210:40004214:40004218
30000067,18,Derelik,Mekashtad,Sharir,0.40,30000062:30000065,40004221:40004222:40004223:40004225:40004227:40004231:40004234:40004249:40004260:40004282
30000068,18,Derelik,Mekashtad,Usroh,0.60,30000057:30000058,40004286:40004288:40004289:40004291:40004293:40004295:40004297:40004298:40004317:40004321
30000069,20,Derelik,Mekashtad,Thiarer,0.54,30000063:30000064:30000066,40004326:40004327:40004329:40004333:40004336:40004337:40004339:40004355:40004364
30000070,19,Derelik,Bedaleya,Gomati,0.39,30000073:30000074:30000075:30000085,40004376:40004379:40004380:40004382:40004384:40004387:40004389:40004415:40004419:40004448
30000071,21,Derelik,Bedaleya,Jangar,0.53,30000074,40004451:40004453:40004455:40004457:40004460:40004463:40004466:40004470
30000072,20,Derelik,Bedaleya,Nakah,0.36,30000074:30000075:30002982,40004481:40004483:40004488:40004489:40004493:40004494
30000073,19,Derelik,Bedaleya,Irshah,0.43,30000012:30000070:30000085,40004498:40004500:40004502:40004504:40004506:40004508:40004513:40004530:40004557:40004565
30000074,20,Derelik,Bedaleya,Hasateem,0.43,30000070:30000071:30000072:30000075,40004569:40004570:40004572:40004574:40004576:40004593:40004626
30000075,20,Derelik,Bedaleya,Assah,0.30,30000070:30000072:30000074:30003703,40004638:40004640:40004642:40004645:40004647:40004673:40004698:40004721:40004750
30000076,17,Derelik,Orshed,Tidacha,0.82,30000008:30000077:30000079,40004755:40004756:40004758:40004760:40004782:40004799:40004802:40004819:40004844
30000077,18,Derelik,Orshed,Odlib,0.82,30000076:30000078:30000080,40004873:40004874:40004875:40004877:40004879:40004880:40004882:40004885:40004888:40004891:40004898:40004904:40004937
30000078,19,Derelik,Orshed,Jofan,0.78,30000077:30000080,40004942:40004944:40004946:40004947:40004950:40004954:40004956:40004974:40004988:40004995
30000079,18,Derelik,Orshed,Milu,0.77,30000076,40004998:40005000:40005002:40005004:40005007:40005011:40005014:40005016:40005038:40005063:40005068
30000080,19,Derelik,Orshed,Yadi,0.75,30000077:30000078:30000081,40005095:40005097:40005100:40005103:40005104:40005122:40005144:40005164
30000081,20,Derelik,Orshed,Buftiar,0.71,30000080,40005193:40005194:40005196:40005199:40005217:40005237:40005261
30000082,17,Derelik,Oraron,Jarizza,0.77,30000083:30000084:30000085,40005304:40005305:40005307:40005309:40005310:40005312:40005315:40005323:40005343:40005367:40005393:40005397
30000083,18,Derelik,Oraron,Ejahi,0.73,30000082:30000087,40005399:40005400:40005401:40005403:40005406:40005410
30000084,16,Derelik,Oraron,Asghatil,0.79,30000003:30000082:30000086,40005414:40005415:40005417:40005419:40005422:40005425:40005428:40005432:40005436
30000085,18,Derelik,Oraron,Bar,0.67,30000070:30000073:30000082:30000086:30000107,40005450:40005452:40005454:40005456:40005459:40005476:40005498:40005528:40005531:40005535
30000086,17,Derelik,Oraron,Sucha,0.66,30000084:30000085,40005540:40005542:40005545:40005547:40005549:40005551:40005573:40005594:40005624:40005647
30000087,19,Derelik,Oraron,Gelhan,0.70,30000083:30000088,40005652:40005654:40005656:40005658:40005661:40005679:40005682:40005702:40005726:40005735:40005739
30000088,20,Derelik,Oraron,Akeva,0.66,30000087,40005758:40005760:40005767:40005785
30000089,24,Derelik,Aguh,Sosa,0.30,30000090:30000091:30000092,40005804:40005805:40005806:40005807:40005808:40005825:40005845:40005868:40005887:40005891
30000090,23,Derelik,Aguh,Ilahed,0.32,30000014:30000089:30000093,40005903:40005904:40005905:40005907:40005930:40005945:40005967:40005970
30000091,25,Derelik,Aguh,Eshwil,0.22,30000089,40005975:40005976:40005978:40005995:40006014
30000092,25,Derelik,Aguh,Aranir,0.24,30000089:30000094,40006019:40006020:40006022:40006024:40006026:40006033:40006037:40006055:40006092
30000093,24,Derelik,Aguh,Ishkad,0.37,30000090,40006097:40006099:40006102:40006103:40006104:40006108:40006111:40006113:40006122
30000094,26,Derelik,Aguh,Hahyil,0.21,30000092,40006127:40006129:40006131:40006134:40006140:40006158:40006187:40006214:40006219
30000095,23,Derelik,Mal,Asilem,0.28,30000097:30000102,40006222:40006224:40006226:40006227:40006229:40006235:40006258:40006280:40006288
30000096,24,Derelik,Mal,Mahnagh,0.21,30000097,40006293:40006295:40006296:40006298:40006299:40006300:40006304:40006308:40006311:40006334:40006339:40006349
30000097,23,Derelik,Mal,Shach,0.33,30000095:30000096:30000098:30000100,40006355:40006357:40006359:40006362:40006365:40006369:40006372:40006386:40006391
30000098,22,Derelik,Mal,Kehrara,0.36,30000014:30000097:30000099:30000102,40006396:40006397:40006399:40006400:40006403:40006408:40006437
30000099,21,Derelik,Mal,Arena,0.44,30000098:30000101:30000102:30000103,40006456:40006458:40006459:40006461:40006483:40006501:40006531:40006536
30000100,24,Derelik,Mal,Timeor,0.31,30000043:30000097,40006542:40006544:40006546:40006547:40006551:40006553:40006556:40006558:40006576:40006600:40006623:40006630
30000101,20,Derelik,Mal,Uhtafal,0.50,30000099:30000103:30000105,40006635:40006637:40006640:40006661:40006693
30000102,22,Derelik,Mal,Dysa,0.24,30000095:30000098:30000099:30000104,40006698:40006700:40006702:40006704:40006707:40006733:40006739:40006746
30000103,21,Derelik,Mal,Serad,0.53,30000099:30000101,40006752:40006754:40006770:40006793:40006819:40006852
30000104,23,Derelik,Mal,Mahti,0.23,30000102,40006857:40006858:40006859:40006860:40006862:40006864:40006867:40006885:40006898:40006920:40006929:40006957:40006960
30000105,19,Derelik,Mal,Abha,0.43,30000058:30000101,40006966:40006968:40006969:40006971:40006972:40006974:40006977:40006997:40007004
30000106,19,Derelik,Subi,Shedoo,0.51,30000048:30000107:30000109,40007009:40007010:40007012:40007013:40007016:40007019:40007023:40007026:40007046:40007072:40007084:40007087:40007089
30000107,19,Derelik,Subi,Gamis,0.47,30000085:30000106:30000108:30000110:30000111,40007094:40007095:40007096:40007097:40007100:40007101:40007103:40007107:40007110:40007113:40007117:40007122:40007124
30000108,20,Derelik,Subi,Nieril,0.35,30000107:30000111,40007131:40007132:40007135:40007136:40007138:40007144:40007168:40007180
30000109,18,Derelik,Subi,Berta,0.49,30000051:30000106:30000110:30000111,40007186:40007187:40007188:40007190:40007193:40007217
30000110,19,Derelik,Subi,Bekirdod,0.41,30000107:30000109,40007250:40007252:40007254:40007256:40007259:40007260:40007262:40007267:40007288
30000111,19,Derelik,Subi,Hothomouh,0.42,30000107:30000108:30000109,40007320:40007322:40007324:40007327:40007330:40007333:40007354:40007361:40007377:40007380
30000112,16,Derelik,Joas,Arnola,0.46,30000030:30000113:30000118,40007387:40007388:40007390:40007392:40007393:40007396:40007400
30000113,15,Derelik,Joas,Astabih,0.41,30000112:30000114:30000115:30000116:30000117,40007406:40007408:40007410:40007412:40007415:40007421:40007450:40007455
30000114,14,Derelik,Joas,Ubtes,0.34,30000035:30000113:30000115:30000116:30000117,40007460:40007462:40007463:40007465:40007468:40007470:40007472:40007474:40007478:40007502
30000115,15,Derelik,Joas,Bimener,0.27,30000113:30000114:30000116:30000117,40007506:40007521:40007524:40007542:40007565:40007570
30000116,15,Derelik,Joas,Kenobanala,0.29,30000113:30000114:30000115:30002395,40007575:40007576:40007578:40007581:40007583:40007585:40007588:40007591:40007593
30000117,15,Derelik,Joas,Khabi,0.25,30000113:30000114:30000115:30000118:30000943,40007596:40007598:40007599:40007600:40007601:40007603:40007605:40007608:40007612:40007636:40007658:40007687:40007706:40007709
30000118,16,Derelik,Joas,Uanzin,0.43,30000065:30000112:30000117,40007717:40007718:40007720:40007723:40007730:40007753:40007758:40007762
30000119,2,The Forge,Ruomo,Itamo,0.67,30000120:30000121:30000123:30000124:30000125:30000140,40007767:40007769:40007771:40007773:40007775:40007777:40007786:40007795
30000120,3,The Forge,Ruomo,Mitsolen,0.63,30000119:30000122,40007813:40007815:40007817:40007820:40007837:40007858:40007864:40007870
30000121,3,The Forge,Ruomo,Jatate,0.64,30000119,40007873:40007875:40007878:40007895
30000122,4,The Forge,Ruomo,Mahtista,0.66,30000120,40007917:40007918:40007921:40007922:40007924:40007926:40007929:40007942:40007948:40007949
30000123,3,The Forge,Ruomo,Vaankalen,0.65,30000119,40007961:40007972:40007988:40007991:40008015:40008039:40008046:40008048
30000124,3,The Forge,Ruomo,Kylmabe,0.73,30000119,40008052:40008053:40008054:40008055:40008056:40008057:40008060:40008062:40008065:40008068
30000125,3,The Forge,Ruomo,Ahtulaima,0.61,30000119,40008071:40008074:40008076:40008078:40008081:40008083:40008089:40008092:40008118:40008120:40008124
30000126,5,The Forge,Anttanen,Geras,0.65,30000128:30000131,40008129:40008130:40008133:40008134:40008136:40008139:40008154:40008157:40008161:40008186:40008195
30000127,5,The Forge,Anttanen,Sirseshin,0.75,30000128:30002788,40008200:40008201:40008202:40008204:40008207:40008209:40008212:40008215:40008222
30000128,5,The Forge,Anttanen,Tuuriainas,0.61,30000126:30000127:30000130,40008227:40008228:40008230:40008231
30000129,3,The Forge,Anttanen,Unpas,0.95,30000130:30000139:30003400:30030141,40008234:40008235:40008236:40008237:40008239:40008242:40008266:40008273:40008295:40008303
30000130,4,The Forge,Anttanen,Shihuken,0.87,30000128:30000129:30020141,40008310:40008311:40008314:40008315:40008317:40008319:40008322:40008343
30000131,4,The Forge,Anttanen,Nomaa,0.61,30000126:30000146:30000153,40008348:40008350:40008351:40008356:40008362:40008366:40008387
30000132,2,The Forge,Ihilakken,Ansila,0.91,30000133:30000134:30000138,40008392:40008394:40008396:40008397:40008399:40008402:40008409:40008428:40008452:40008457
30000133,2,The Forge,Ihilakken,Hirtamon,0.97,30000132:30000138:30000145:30021407,40008462:40008464:40008466:40008468:40008471:40008472:40008495:40008517
30000134,3,The Forge,Ihilakken,Hykkota,0.82,30000132:30000135:30000136,40008525:40008527:40008529:40008545:40008565:40008586
30000135,4,The Forge,Ihilakken,Outuni,0.73,30000134:30000136:30000137,40008606:40008608:40008609:40008611:40008613:40008615:40008618:40008638:40008640:40008658:40008685:40008690
30000136,4,The Forge,Ihilakken,Ohmahailen,0.66,30000134:30000135:30000137,40008721:40008723:40008725:40008729:40008747:40008768:40008772:40008784
30000137,5,The Forge,Ihilakken,Eskunen,0.63,30000135:30000136,40008791:40008792:40008793:40008795:40008799:40008802:40008806:40008816:40008820:40008823:40008849
30000138,1,The Forge,Ihilakken,Ikuchi,0.99,30000132:30000133:30000142:30001379:30010141,40008854:40008855:40008856:40008859:40008863:40008867
30000139,2,The Forge,Kimotoro,Urlen,0.96,30000129:30000141:30000144:30002791:30002802,40008889:40008890:40008892:40008894:40008896:40008900:40008904:40008915:40008918
30000140,1,The Forge,Kimotoro,Maurasi,0.91,30000119:30000142:30000144:30002780,40008921:40008923:40008925:40008927:40008929:40008931:40008935:40008938:40008960:40008980:40009008:40009045
30000141,3,The Forge,Kimotoro,Kisogo,1.00,30000139,40009050:40009052:40009053:40009056:40009059:40009062:40009067:40009070:40009073
30000142,0,The Forge,Kimotoro,Jita,0.95,30000138:30000140:30000143:30000144:30000145:30001363:30002780,40009077:40009078:40009080:40009082:40009098:40009116:40009119:40009123
30000143,1,The Forge,Kimotoro,Niyabainen,0.96,30000142:30000144:30000145:30001379,40009127:40009128:40009130:40009132:40009134:40009141:40009162:40009177:40009202
30000144,1,The Forge,Kimotoro,Perimeter,0.95,30000139:30000140:30000142:30000143:30002642,40009229:40009231:40009234:40009235:40009236:40009238:40009241:40009244:40009247:40009248
30000145,1,The Forge,Kimotoro,New Caldari,1.00,30000133:30000142:30000143:30000156:30001393:30002754,40009253:40009255:40009257:40009260:40009264
30000146,5,The Forge,Okomon,Saisio,0.65,30000131:30000147:30000148,40009269:40009270:40009271:40009273:40009277:40009280:40009282:40009299:40009326
30000147,6,The Forge,Okomon,Abagawa,0.63,30000146:30000150,40009333:40009335:40009338:40009340:40009343:40009348:40009354:40009375:40009385
30000148,6,The Forge,Okomon,Jakanerva,0.74,30000146:30000149:30000152,40009391:40009394:40009411:40009432:40009468:40009498:40009502
30000149,7,The Forge,Okomon,Gekutami,0.70,30000148:30000151,40009504:40009506:40009507:40009510:40009513:40009518:40009524:40009531
30000150,7,The Forge,Okomon,Hurtoken,0.59,30000147:30000152,40009542:40009544:40009546:40009548:40009569:40009573:40009597
30000151,8,The Forge,Okomon,Uoyonen,0.70,30000149:30000173,40009604:40009605:40009606:40009607:40009610:40009613:40009618:40009623:40009628:40009633
30000152,7,The Forge,Okomon,Hampinen,0.54,30000148:30000150:30000159,40009640:40009641:40009643:40009645:40009648:40009650:40009652:40009675
30000153,3,The Forge,Onirvura,Poinen,0.56,30000131:30000154:30000155:30000156:30000157,40009681:40009686:40009702:40009723:40009742:40009782:40009791:40009796
30000154,3,The Forge,Onirvura,Liekuri,0.60,30000153:30000155:30000156,40009801:40009802:40009805:40009806:40009807:40009812:40009837
30000155,4,The Forge,Onirvura,Obanen,0.56,30000153:30000154:30000158,40009864:40009865:40009867:40009868:40009870:40009873:40009876:40009894:40009909
30000156,2,The Forge,Onirvura,Josameto,0.58,30000145:30000153:30000154:30000157,40009917:40009919:40009920:40009922:40009924:40009926:40009931:40009934:40009938
30000157,3,The Forge,Onirvura,Otela,0.53,30000153:30000156,40009948:40009950:40009955:40009980:40009997:40010023
30000158,5,The Forge,Onirvura,Olo,0.68,30000155:30000165:30000180,40010058:40010060:40010065:40010070
30000159,8,The Forge,Ihatalo,Ikami,0.53,30000152:30000160:30000161,40010076:40010078:40010080:40010081:40010083:40010086:40010107:40010109:40010145:40010165:40010169
30000160,9,The Forge,Ihatalo,Reisen,0.52,30000159:30000161:30000163,40010191:40010193:40010196:40010198:40010203:40010228:40010255
30000161,9,The Forge,Ihatalo,Purjola,0.52,30000159:30000160:30000162,40010264:40010265:40010267:40010269:40010272:40010275:40010293
30000162,10,The Forge,Ihatalo,Maila,0.44,30000161:30000163,40010321:40010322:40010324:40010326:40010332:40010337:40010340
30000163,10,The Forge,Ihatalo,Akora,0.32,30000160:30000162:30000164:30000186,40010346:40010347:40010349:40010350:40010354:40010358:40010367:40010372:40010373:40010398
30000164,11,The Forge,Ihatalo,Messoya,0.32,30000163:30000195,40010404:40010406:40010408:40010410:40010412:40010415:40010419:40010422:40010443
30000165,6,The Forge,Okkelen,Ishisomo,0.65,30000158:30000166:30000167,40010450:40010451:40010453:40010455:40010457:40010460:40010462:40010484:40010510:40010534
30000166,7,The Forge,Okkelen,Airmia,0.62,30000165:30000167:30000168,40010540:40010541:40010542:40010543:40010545:40010548:40010553:40010576
